ioc,ioc_type,malware,first_seen
s1694.star-layer.com,domain,Unknown malware,2026-06-14 12:13:26
s1696.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:26
s1696.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:25
s1696.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:23
s1696.star-layer.com,domain,Unknown malware,2026-06-14 12:13:23
s17.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:23
s17.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:22
s1702.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:22
s1702.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:21
s1702.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:20
s1702.star-layer.com,domain,Unknown malware,2026-06-14 12:13:20
s1708.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:16
s1708.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:16
s1708.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:16
s1708.star-layer.com,domain,Unknown malware,2026-06-14 12:13:15
s1710.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:15
s1710.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:15
s1710.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:14
s1710.star-layer.com,domain,Unknown malware,2026-06-14 12:13:14
s1726.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:13
s1726.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:13
s1726.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:13
s1726.star-layer.com,domain,Unknown malware,2026-06-14 12:13:13
s1728.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:12
s1728.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:12
s1728.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:12
s1728.star-layer.com,domain,Unknown malware,2026-06-14 12:13:11
s1730.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:11
s1730.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:09
s1730.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:09
s1730.star-layer.com,domain,Unknown malware,2026-06-14 12:13:08
s1732.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:08
s1732.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:08
s1732.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:07
s1732.star-layer.com,domain,Unknown malware,2026-06-14 12:13:06
s1734.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:06
s1734.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:06
s1734.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:05
s1734.star-layer.com,domain,Unknown malware,2026-06-14 12:13:05
s1736.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:05
s1736.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:05
s1736.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:04
s1736.star-layer.com,domain,Unknown malware,2026-06-14 12:13:04
s1738.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:04
s1738.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:03
s1738.novel-layer.com,domain,Unknown malware,2026-06-14 12:13:02
s1740.byte-buff.com,domain,Unknown malware,2026-06-14 12:13:02
s1738.star-layer.com,domain,Unknown malware,2026-06-14 12:13:00
s1740.house-spirit.com,domain,Unknown malware,2026-06-14 12:13:00
s1740.novel-layer.com,domain,Unknown malware,2026-06-14 12:12:59
s1742.byte-buff.com,domain,Unknown malware,2026-06-14 12:12:59
s1740.star-layer.com,domain,Unknown malware,2026-06-14 12:12:58
s1742.house-spirit.com,domain,Unknown malware,2026-06-14 12:12:58
s1742.star-layer.com,domain,Unknown malware,2026-06-14 12:12:58
s1742.novel-layer.com,domain,Unknown malware,2026-06-14 12:12:57
